step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
0,0,morning,NS,12,0,2,3,0,3,1.0,2,False,Fixed plan based on time-of-day profile.
0,1,morning,NS,12,0,2,4,0,4,1.0,2,False,Fixed plan based on time-of-day profile.
0,2,morning,NS,12,0,4,3,0,3,2.0,4,False,Fixed plan based on time-of-day profile.
1,0,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
1,1,morning,EW,12,3,0,0,4,4,1.5,3,False,Fixed plan based on time-of-day profile.
1,2,morning,EW,12,3,0,0,8,8,1.5,3,False,Fixed plan based on time-of-day profile.
2,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
2,1,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
2,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
3,0,morning,EW,12,5,0,0,4,4,2.5,5,False,Fixed plan based on time-of-day profile.
3,1,morning,EW,12,5,0,0,4,4,2.5,5,False,Fixed plan based on time-of-day profile.
3,2,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
4,0,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
4,1,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
4,2,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
5,0,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
5,1,morning,EW,12,3,0,0,5,5,1.5,3,False,Fixed plan based on time-of-day profile.
5,2,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
6,0,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
6,1,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
6,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
7,0,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
7,1,morning,EW,12,4,0,0,4,4,2.0,4,False,Fixed plan based on time-of-day profile.
7,2,morning,EW,12,5,0,0,8,8,2.5,5,False,Fixed plan based on time-of-day profile.
8,0,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
8,1,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
8,2,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
