step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
0,0,morning,NS,12,0,2,3,0,3,1.0,2,False,RL: exploiting → 12s green
0,1,morning,NS,12,0,2,4,0,4,1.0,2,False,RL: exploiting → 12s green
0,2,morning,NS,12,0,4,3,0,3,2.0,4,False,RL: exploiting → 12s green
1,0,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
1,1,morning,EW,12,3,0,0,4,4,1.5,3,False,RL: exploiting → 12s green
1,2,morning,EW,12,3,0,0,8,8,1.5,3,False,RL: exploiting → 12s green
2,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
2,1,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
2,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
3,0,morning,EW,12,5,0,0,4,4,2.5,5,False,RL: exploiting → 12s green
3,1,morning,EW,12,5,0,0,4,4,2.5,5,False,RL: exploiting → 12s green
3,2,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
4,0,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
4,1,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploring → 12s green
4,2,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
5,0,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
5,1,morning,EW,12,3,0,0,5,5,1.5,3,False,RL: exploiting → 12s green
5,2,morning,EW,14,5,0,0,6,6,2.5,5,False,RL: exploring → 14s green
6,0,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
6,1,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
6,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
7,0,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
7,1,morning,EW,12,4,0,0,4,4,2.0,4,False,RL: exploiting → 12s green
7,2,morning,EW,12,5,0,0,8,8,2.5,5,False,RL: exploring → 12s green
8,0,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
8,1,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
8,2,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
9,0,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
9,1,morning,EW,12,5,0,0,4,4,2.5,5,False,RL: exploiting → 12s green
9,2,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
10,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
10,1,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
10,2,morning,NS,12,0,3,12,0,12,1.5,3,False,RL: exploiting → 12s green
11,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
11,1,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
11,2,morning,EW,12,4,0,0,7,7,2.0,4,False,RL: exploiting → 12s green
12,0,morning,NS,12,0,3,7,0,7,1.5,3,False,RL: exploiting → 12s green
12,1,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
12,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
13,0,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
13,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
13,2,morning,EW,12,3,0,0,8,8,1.5,3,False,RL: exploiting → 12s green
14,0,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
14,1,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
14,2,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
15,0,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
15,1,morning,EW,12,3,0,0,8,8,1.5,3,False,RL: exploiting → 12s green
15,2,morning,EW,12,3,0,0,4,4,1.5,3,False,RL: exploiting → 12s green
16,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
16,1,morning,NS,12,0,2,6,0,6,1.0,2,False,RL: exploiting → 12s green
16,2,morning,NS,12,0,4,6,0,6,2.0,4,False,RL: exploiting → 12s green
17,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
17,1,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
17,2,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
18,0,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
18,1,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
18,2,morning,NS,12,0,2,12,0,12,1.0,2,False,RL: exploiting → 12s green
19,0,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
19,1,morning,EW,12,4,0,0,7,7,2.0,4,False,RL: exploiting → 12s green
19,2,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
20,0,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
20,1,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploring → 12s green
20,2,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
21,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
21,1,morning,EW,12,6,0,0,4,4,3.0,6,False,RL: exploiting → 12s green
21,2,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
22,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
22,1,morning,NS,12,0,4,12,0,12,2.0,4,False,RL: exploiting → 12s green
22,2,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
23,0,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
23,1,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
23,2,morning,EW,12,6,0,0,4,4,3.0,6,False,RL: exploiting → 12s green
24,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
24,1,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
24,2,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
25,0,morning,EW,12,4,0,0,4,4,2.0,4,False,RL: exploiting → 12s green
25,1,morning,EW,12,6,0,0,4,4,3.0,6,False,RL: exploiting → 12s green
25,2,morning,EW,12,3,0,0,4,4,1.5,3,False,RL: exploring → 12s green
26,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
26,1,morning,NS,12,0,3,12,0,12,1.5,3,False,RL: exploiting → 12s green
26,2,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
27,0,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
27,1,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
27,2,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
28,0,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
28,1,morning,NS,12,0,2,6,0,6,1.0,2,False,RL: exploiting → 12s green
28,2,morning,NS,12,0,4,6,0,6,2.0,4,False,RL: exploiting → 12s green
29,0,morning,EW,12,6,0,0,4,4,3.0,6,False,RL: exploiting → 12s green
29,1,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
29,2,morning,EW,14,3,0,0,7,7,1.5,3,False,RL: exploring → 14s green
30,0,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
30,1,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
30,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
31,0,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploring → 12s green
31,1,morning,EW,12,3,0,0,4,4,1.5,3,False,RL: exploiting → 12s green
31,2,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
32,0,morning,NS,12,0,2,11,0,11,1.0,2,False,RL: exploiting → 12s green
32,1,morning,NS,12,0,2,6,0,6,1.0,2,False,RL: exploiting → 12s green
32,2,morning,NS,12,0,3,7,0,7,1.5,3,False,RL: exploiting → 12s green
33,0,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
33,1,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
33,2,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
34,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
34,1,morning,NS,12,0,4,6,0,6,2.0,4,False,RL: exploiting → 12s green
34,2,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
35,0,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
35,1,morning,EW,12,5,0,0,8,8,2.5,5,False,RL: exploiting → 12s green
35,2,morning,EW,12,3,0,0,5,5,1.5,3,False,RL: exploiting → 12s green
36,0,morning,NS,12,0,2,10,0,10,1.0,2,True,RL: exploiting → 12s green | Emergency override: granted immediate green to priority approach.
36,1,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
36,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
37,0,morning,NS,12,0,6,6,0,6,3.0,6,True,RL: exploiting → 12s green | Emergency override: granted immediate green to priority approach.
37,1,morning,EW,12,3,0,0,8,8,1.5,3,False,RL: exploiting → 12s green
37,2,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
38,0,morning,NS,12,0,9,4,0,4,4.5,9,False,RL: exploiting → 12s green
38,1,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
38,2,morning,NS,12,0,3,6,0,6,1.5,3,False,RL: exploiting → 12s green
39,0,morning,EW,12,4,1,0,12,12,2.5,4,False,RL: exploiting → 12s green
39,1,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
39,2,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
40,0,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
40,1,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
40,2,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
41,0,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
41,1,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
41,2,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
42,0,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
42,1,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
42,2,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
43,0,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
43,1,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
43,2,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
44,0,morning,NS,12,0,2,11,0,11,1.0,2,False,RL: exploiting → 12s green
44,1,morning,NS,14,0,3,11,0,11,1.5,3,False,RL: exploring → 14s green
44,2,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
45,0,morning,EW,12,3,0,0,5,5,1.5,3,False,RL: exploiting → 12s green
45,1,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
